Year,Player Name,Position,Team,College / Origin,Year Drafted,Draft Pick,Height,Weight,Minutes Per Game,Points Per Game,Rebounds Per Game,Assists Per Game,Blocks Per Game,Steals Per Game,Turnovers Per Game,FG%,3P%,FT%,Win Shares
1998,LaTonya Johnson,F,UTA,Memphis,1998,21,6-1,150lb,17.5,5.4,1.9,0.7,0.0,0.4,1.5,0.4,0.286,0.618,-0.6
1998,Lady Grooms,F,SAC,Georgia,1997,,5-10,160lb,26.4,7.1,2.7,1.6,0.1,0.7,1.7,0.487,0.167,0.67,1.2
1998,Latasha Byears,G-F,SAC,DePaul,,Undrafted,5-11,206lb,27.6,14.2,6.6,1.0,0.4,1.4,2.4,0.453,0.222,0.663,2.5
1998,Leila Sobral,F,WAS,Brazil,,Undrafted,6-1,,4.7,1.7,0.7,0.4,0.1,0.3,0.6,0.24,0.273,0.667,-0.1
1998,Leslie Johnson,F,WAS,Western Kentucky,,Undrafted,6-2,220lb,2.5,0.3,0.2,0.2,0.0,0.0,0.7,0.5,,,-0.1
1998,Linda Burgess,F,SAC,Alabama,,Undrafted,6-1,173lb,23.1,7.5,4.9,0.9,0.4,1.4,2.0,0.476,0.125,0.763,1.6
1998,Lisa Leslie,C,LAS,USC,1997,,6-5,170lb,32.1,19.6,10.2,2.5,2.1,1.5,3.6,0.478,0.391,0.768,5.7
1998,Lynette Woodard,G,DET,Kansas,1997,10,6-0,160lb,14.2,3.5,2.4,0.8,0.1,0.8,1.1,0.387,,0.575,0.5
1998,Margo Dydek,C,UTA,Poland,1998,1,7-2,223lb,28.0,12.9,7.6,1.8,3.8,0.5,3.6,0.482,0.143,0.732,1.8
1998,Margo Graham,C,WAS,Houston,,Undrafted,6-4,235lb,5.4,2.0,1.4,0.1,0.1,0.1,0.9,0.421,,0.5,-0.2
1998,Maria Stepanova,C,PHO,Russia,,8,6-8,187lb,6.5,3.3,1.9,0.4,0.6,0.2,0.5,0.426,,0.636,0.6
1998,Marlies Askamp,C,PHO,Germany,,Undrafted,6-5,198lb,12.3,5.3,3.3,0.5,0.3,0.5,0.8,0.471,,0.661,1.7
1998,Merlakia Jones,G,CLE,Florida,1997,13,5-10,147lb,22.8,9.5,3.2,1.3,0.1,1.1,1.7,0.464,0.35,0.753,2.1
1998,Mfon Udoka,F,DET,DePaul,,Undrafted,6-0,187lb,8.3,1.3,1.0,0.0,0.0,0.0,0.3,0.167,,0.5,-0.1
